,Name,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage
0,"United States, US",32.9,28.9,26.7,11.5
1,"Alabama, Alabama",26.2,30.3,30.3,13.1
2,"Autauga County, Alabama",28.3,29.0,31.4,11.3
3,"Baldwin County, Alabama",31.9,31.4,27.2,9.5
4,"Barbour County, Alabama",11.6,27.4,35.7,25.3
5,"Bibb County, Alabama",11.3,24.5,45.1,19.1
6,"Blount County, Alabama",13.3,34.5,35.1,17.2
7,"Bullock County, Alabama",10.3,23.3,41.4,25.1
8,"Butler County, Alabama",16.0,23.9,46.5,13.6
9,"Calhoun County, Alabama",18.9,31.8,34.4,14.9
10,"Chambers County, Alabama",14.4,31.0,37.1,17.4
11,"Cherokee County, Alabama",12.9,30.7,39.2,17.2
12,"Chilton County, Alabama",13.6,24.8,43.3,18.2
13,"Choctaw County, Alabama",13.5,33.1,36.1,17.3
14,"Clarke County, Alabama",13.8,27.3,41.6,17.4
15,"Clay County, Alabama",11.8,29.5,40.0,18.7
16,"Cleburne County, Alabama",16.0,27.8,38.4,17.8
17,"Coffee County, Alabama",21.7,36.4,27.5,14.4
18,"Colbert County, Alabama",17.4,31.3,37.0,14.3
19,"Conecuh County, Alabama",13.8,24.4,46.7,15.0
20,"Coosa County, Alabama",11.6,29.6,42.0,16.8
21,"Covington County, Alabama",15.6,32.5,37.3,14.7
22,"Crenshaw County, Alabama",18.5,22.1,38.2,21.2
23,"Cullman County, Alabama",15.4,34.6,32.3,17.7
24,"Dale County, Alabama",18.2,36.2,30.9,14.7
25,"Dallas County, Alabama",16.6,31.1,36.2,16.1
26,"DeKalb County, Alabama",14.0,31.3,32.7,22.0
27,"Elmore County, Alabama",25.8,29.7,31.7,12.7
28,"Escambia County, Alabama",12.5,24.8,43.0,19.6
29,"Etowah County, Alabama",17.7,34.2,33.4,14.7
30,"Fayette County, Alabama",12.3,29.3,42.6,15.8
31,"Franklin County, Alabama",15.0,24.6,39.0,21.3
32,"Geneva County, Alabama",13.1,32.6,36.1,18.2
33,"Greene County, Alabama",10.1,30.9,39.9,19.1
34,"Hale County, Alabama",15.6,27.9,37.2,19.3
35,"Henry County, Alabama",18.9,29.3,32.3,19.5
36,"Houston County, Alabama",22.1,33.2,31.5,13.1
37,"Jackson County, Alabama",16.2,28.2,39.1,16.5
38,"Jefferson County, Alabama",34.1,30.1,26.3,9.5
39,"Lamar County, Alabama",11.3,30.6,41.0,17.0
40,"Lauderdale County, Alabama",25.1,28.7,34.9,11.4
41,"Lawrence County, Alabama",15.8,25.3,39.7,19.2
42,"Lee County, Alabama",36.4,31.6,22.3,9.6
43,"Limestone County, Alabama",24.9,31.0,29.3,14.7
44,"Lowndes County, Alabama",14.7,26.3,41.2,17.8
45,"Macon County, Alabama",20.5,32.5,30.6,16.4
46,"Madison County, Alabama",43.8,28.4,19.5,8.3
47,"Marengo County, Alabama",17.1,30.1,38.2,14.6
48,"Marion County, Alabama",13.3,33.3,34.5,18.9
49,"Marshall County, Alabama",20.7,31.6,31.1,16.7
50,"Mobile County, Alabama",24.4,29.4,33.5,12.7
51,"Monroe County, Alabama",13.5,23.9,46.0,16.5
52,"Montgomery County, Alabama",33.7,29.2,24.5,12.7
53,"Morgan County, Alabama",21.3,31.0,31.7,16.0
54,"Perry County, Alabama",17.8,24.4,36.1,21.6
55,"Pickens County, Alabama",14.4,29.4,39.0,17.1
56,"Pike County, Alabama",29.6,24.3,33.4,12.6
57,"Randolph County, Alabama",17.1,29.4,35.4,18.1
58,"Russell County, Alabama",17.5,38.1,29.7,14.7
59,"St. Clair County, Alabama",18.1,32.8,34.8,14.2
60,"Shelby County, Alabama",44.2,29.6,19.4,6.8
61,"Sumter County, Alabama",18.4,32.3,34.6,14.7
62,"Talladega County, Alabama",15.3,33.1,33.5,18.2
63,"Tallapoosa County, Alabama",18.8,29.5,32.9,18.8
64,"Tuscaloosa County, Alabama",31.1,29.4,28.9,10.5
65,"Walker County, Alabama",13.4,33.2,35.0,18.3
66,"Washington County, Alabama",14.4,27.3,44.2,14.1
67,"Wilcox County, Alabama",11.7,27.2,40.4,20.7
68,"Winston County, Alabama",13.3,26.5,38.7,21.6
69,"Alaska, Alaska",30.0,34.7,28.4,6.9
70,"Aleutian Islands, Alaska",,,,
71,"Aleutians East Borough, Alaska",16.6,29.4,40.7,13.4
72,"Aleutians West Census Area, Alaska",17.0,32.3,42.5,8.2
73,"Anchorage Municipality, Alaska",36.6,33.7,23.7,6.0
74,"Bethel Census Area, Alaska",11.3,23.5,48.7,16.5
75,"Bristol Bay Borough, Alaska",25.8,38.0,29.9,6.2
76,"Chugach Census Area, Alaska, Alaska",29.1,42.6,24.0,4.4
77,"Copper River Census Area, Alaska, Alaska",31.5,29.3,34.6,4.6
78,"Denali Borough, Alaska",39.1,28.5,30.2,2.3
79,"Dillingham Census Area, Alaska",19.4,27.0,40.1,13.5
80,"Fairbanks North Star Borough, Alaska",32.3,38.0,24.1,5.5
81,"Haines Borough, Alaska",27.7,36.1,34.2,2.0
82,"Hoonah-Angoon Census Area, Alaska",19.6,38.0,36.4,6.0
83,"Juneau City and Borough, Alaska",38.8,35.9,21.5,3.8
84,"Kenai Peninsula Borough, Alaska",25.8,35.9,31.3,7.0
85,"Ketchikan Gateway Borough, Alaska",25.5,37.7,30.7,6.1
86,"Kodiak Island Borough, Alaska",29.8,32.6,27.1,10.4
87,"Kusilvak Census Area, Alaska",3.3,21.1,54.2,21.4
88,"Kuskokwim Division, Alaska",,,,
89,"Lake and Peninsula Borough, Alaska",23.1,29.4,35.7,11.8
90,"Matanuska-Susitna Borough, Alaska",21.9,37.7,33.9,6.4
91,"Nome Census Area, Alaska",17.0,25.8,43.3,14.0
92,"North Slope Borough, Alaska",15.1,32.6,41.0,11.3
93,"Northwest Arctic Borough, Alaska",15.0,22.6,46.9,15.5
94,"Petersburg Census Area, Alaska",25.5,30.0,33.7,10.8
95,"Prince of Wales-Hyder Census Area, Alaska",17.2,35.9,38.1,8.7
96,"Prince of Wales-Outer Ketchikan Census Area, Alaska",,,,
97,"Sitka City and Borough, Alaska",34.2,35.7,25.3,4.8
98,"Skagway Municipality, Alaska",24.2,34.0,30.4,11.5
99,"Skagway-Yakutat-Angoon Census Area, Alaska",,,,
100,"Skagway-Hoonah-Angoon Census Area, Alaska",,,,
101,"Southeast Fairbanks Census Area, Alaska",21.2,34.6,35.2,8.9
102,"Upper Yukon Division, Alaska",,,,
103,"Valdez-Cordova Census Area, Alaska",,,,
104,"Wrangell City and Borough, Alaska",16.9,38.8,32.6,11.7
105,"Wrangell-Petersburg Census Area, Alaska",,,,
106,"Yakutat City and Borough, Alaska",18.0,34.8,41.6,5.6
107,"Yukon-Koyukuk Census Area, Alaska",13.2,32.7,42.1,12.0
108,"Arizona, Arizona",30.3,33.8,23.8,12.1
109,"Apache County, Arizona",12.5,37.7,31.2,18.5
110,"Cochise County, Arizona",25.6,39.2,24.0,11.3
111,"Coconino County, Arizona",37.6,31.6,21.7,9.0
112,"Gila County, Arizona",19.2,39.4,28.7,12.7
113,"Graham County, Arizona",14.8,40.1,30.3,14.7
114,"Greenlee County, Arizona",16.8,37.9,30.4,14.8
115,"La Paz County, Arizona",11.8,35.6,33.1,19.5
116,"Maricopa County, Arizona",33.4,32.6,22.4,11.6
117,"Mohave County, Arizona",13.4,38.7,34.3,13.6
118,"Navajo County, Arizona",16.1,38.5,29.2,16.2
119,"Pima County, Arizona",33.6,33.9,21.5,11.0
120,"Pinal County, Arizona",20.9,35.8,30.3,12.9
121,"Santa Cruz County, Arizona",20.9,29.4,27.5,22.1
122,"Yavapai County, Arizona",26.3,39.4,26.2,8.2
123,"Yuma County, Arizona",15.4,32.5,26.6,25.4
124,"Arkansas, Arkansas",23.8,29.4,33.9,12.8
125,"Arkansas County, Arkansas",16.4,26.6,43.0,14.0
126,"Ashley County, Arkansas",12.2,24.4,48.6,14.8
127,"Baxter County, Arkansas",17.8,35.9,35.1,11.2
128,"Benton County, Arkansas",34.6,26.1,28.9,10.4
129,"Boone County, Arkansas",17.8,36.1,34.4,11.8
130,"Bradley County, Arkansas",13.8,26.7,42.8,16.7
131,"Calhoun County, Arkansas",10.7,27.9,45.3,16.0
132,"Carroll County, Arkansas",21.2,29.1,36.0,13.7
133,"Chicot County, Arkansas",14.6,25.7,37.8,21.8
134,"Clark County, Arkansas",25.2,31.2,32.6,11.1
135,"Clay County, Arkansas",13.6,28.5,41.4,16.5
136,"Cleburne County, Arkansas",16.7,29.1,40.8,13.4
137,"Cleveland County, Arkansas",15.9,27.5,46.1,10.5
138,"Columbia County, Arkansas",20.5,24.6,41.7,13.2
139,"Conway County, Arkansas",17.7,27.7,41.2,13.4
140,"Craighead County, Arkansas",27.1,28.7,33.7,10.6
141,"Crawford County, Arkansas",18.2,31.3,35.0,15.5
142,"Crittenden County, Arkansas",17.4,31.9,34.3,16.3
143,"Cross County, Arkansas",14.7,26.4,40.3,18.6
144,"Dallas County, Arkansas",11.0,30.6,45.5,12.8
145,"Desha County, Arkansas",14.0,21.0,45.1,19.9
146,"Drew County, Arkansas",22.6,27.1,36.9,13.3
147,"Faulkner County, Arkansas",32.1,29.3,30.7,7.9
148,"Franklin County, Arkansas",11.3,32.5,42.3,13.9
149,"Fulton County, Arkansas",13.2,34.5,36.8,15.6
150,"Garland County, Arkansas",22.8,35.4,31.2,10.6
151,"Grant County, Arkansas",20.3,30.4,39.5,9.8
152,"Greene County, Arkansas",17.3,27.3,44.4,11.0
153,"Hempstead County, Arkansas",16.0,29.4,38.5,16.0
154,"Hot Spring County, Arkansas",15.3,33.7,38.4,12.5
155,"Howard County, Arkansas",13.8,32.2,40.0,14.0
156,"Independence County, Arkansas",18.5,30.1,37.0,14.4
157,"Izard County, Arkansas",14.5,31.7,35.7,18.0
158,"Jackson County, Arkansas",11.7,28.2,43.3,16.8
159,"Jefferson County, Arkansas",18.0,29.3,40.2,12.6
160,"Johnson County, Arkansas",16.5,21.9,41.4,20.2
161,"Lafayette County, Arkansas",14.0,22.4,42.5,21.0
162,"Lawrence County, Arkansas",14.4,31.9,37.4,16.3
163,"Lee County, Arkansas",8.7,24.2,45.4,21.8
164,"Lincoln County, Arkansas",8.5,23.1,47.7,20.7
165,"Little River County, Arkansas",14.3,32.0,43.4,10.2
166,"Logan County, Arkansas",12.2,30.7,43.7,13.3
167,"Lonoke County, Arkansas",20.6,31.8,37.5,10.1
168,"Madison County, Arkansas",12.1,23.4,49.0,15.5
169,"Marion County, Arkansas",16.1,35.4,34.6,13.9
170,"Miller County, Arkansas",18.0,33.1,34.6,14.3
171,"Mississippi County, Arkansas",15.6,27.7,38.8,17.9
172,"Monroe County, Arkansas",12.6,23.4,42.8,21.1
173,"Montgomery County, Arkansas",15.1,34.2,33.8,16.9
174,"Nevada County, Arkansas",11.9,28.5,49.2,10.5
175,"Newton County, Arkansas",15.9,32.6,37.5,14.0
176,"Ouachita County, Arkansas",13.5,32.2,40.6,13.8
177,"Perry County, Arkansas",17.8,29.8,41.7,10.7
178,"Phillips County, Arkansas",15.5,34.9,31.2,18.4
179,"Pike County, Arkansas",18.3,29.7,37.0,15.0
180,"Poinsett County, Arkansas",11.5,24.4,44.8,19.3
181,"Polk County, Arkansas",15.3,33.7,36.2,14.8
182,"Pope County, Arkansas",24.6,26.4,33.8,15.1
183,"Prairie County, Arkansas",15.3,31.6,39.0,14.1
184,"Pulaski County, Arkansas",35.2,30.1,26.0,8.7
185,"Randolph County, Arkansas",13.8,34.8,36.0,15.4
186,"St. Francis County, Arkansas",10.9,34.1,36.4,18.6
187,"Saline County, Arkansas",27.6,32.7,31.0,8.7
188,"Scott County, Arkansas",12.1,27.1,40.5,20.4
189,"Searcy County, Arkansas",10.9,28.4,41.5,19.2
190,"Sebastian County, Arkansas",23.3,31.4,29.5,15.8
191,"Sevier County, Arkansas",13.4,25.9,36.5,24.3
192,"Sharp County, Arkansas",10.5,32.8,40.2,16.5
193,"Stone County, Arkansas",12.6,32.8,34.0,20.6
194,"Union County, Arkansas",21.2,30.5,34.7,13.6
195,"Van Buren County, Arkansas",15.8,27.7,41.3,15.2
196,"Washington County, Arkansas",33.2,25.7,26.5,14.5
197,"White County, Arkansas",20.7,24.6,40.4,14.2
